Year,Commemorative,Obverse,Reverse,D,P,Count,D,P,S,W,No Mark,Mintage,,,,D,P,No Mark,,CC,D,O,P,S,W,No Mark,,,,,D,P,S,Total,D,P,S,Total
1976,,Franki,Monticello,1,1,2,"563,964,147","367,124,000","2,845,450",,,"933,933,597",,Bicentennial,Bicentennial,,2,,2,,"860,118,839",,"809,784,016","4,908,319",,,"1,674,811,174",,Dwight D. Eisenhower,Apollo 11 Large,,,,,,,,
1977,,Franki,Monticello,,,0,"297,313,460","585,376,000","3,251,152",,,"885,940,612",,Flanagan,Eagle,,,,0,,,,,,,"468,556,000","468,556,000",,Dwight D. Eisenhower,Apollo 11 Large,,,,,,,,
1978,,Franki,Monticello,1,,1,"313,092,780","391,208,000","3,127,781",,,"707,428,561",,Flanagan,Eagle,1,,,1,,,,,,,"521,452,000","521,452,000",,Dwight D. Eisenhower,Apollo 11 Large,,,,,,,,
1979,,Franki,Monticello,,,0,"325,867,672","463,188,000","3,677,175",,,"792,732,847",,Flanagan,Eagle,1,,,1,,,,,,,"518,708,000","518,708,000",,Susan B. Anthony,Apollo 11 Small,,,,,,,,
1980,,Franki,Monticello,,2,2,"502,323,448","593,004,000","3,554,806",,,"1,098,882,254",,Flanagan,Eagle,,,,0,,"518,327,487",,"635,832,000","3,554,806",,,"1,157,714,293",,Susan B. Anthony,Apollo 11 Small,,,,,,,,
1981,,Franki,Monticello,,,0,"364,801,843","657,504,000","4,063,083",,,"1,026,368,926",,Flanagan,Eagle,2,2,,4,,,,"601,716,000",,,,"601,716,000",,Susan B. Anthony,Apollo 11 Small,,,,,,,,
1982,,Franki,Monticello,,,0,"373,726,544","292,355,000","3,857,479",,,"669,939,023",,Flanagan,Eagle,2,1,,3,,,,"500,931,000",,,,"500,931,000",,,,,,,,,,,
1983,,Franki,Monticello,,,0,"536,726,276","561,615,000","3,279,126",,,"1,101,620,402",,Flanagan,Eagle,2,3,,5,,,,"673,535,000",,,,"673,535,000",,,,,,,,,,,
1984,,Franki,Monticello,,,0,"517,675,146","746,769,000","3,065,110",,,"1,267,509,256",,Flanagan,Eagle,1,,,1,,,,"676,545,000",,,,"676,545,000",,,,,,,,,,,
1985,,Franki,Monticello,,,0,"459,747,446","647,114,962","3,362,821",,,"1,110,225,229",,Flanagan,Eagle,2,,,2,,,,"775,818,962",,,,"775,818,962",,,,,,,,,,,
1986,,Franki,Monticello,,,0,"361,819,140","536,883,483","3,010,497",,,"901,713,120",,Flanagan,Eagle,1,,,1,,,,"551,199,333",,,,"551,199,333",,,,,,,,,,,
1987,,Franki,Monticello,,,0,"410,590,604","371,499,481","4,227,728",,,"786,317,813",,Flanagan,Eagle,3,1,,4,,,,"582,499,481",,,,"582,499,481",,,,,,,,,,,
1988,,Franki,Monticello,1,2,3,"663,771,652","771,360,000","3,262,948",,,"1,438,394,600",,Flanagan,Eagle,2,,,2,,,,"562,052,000",,,,"562,052,000",,,,,,,,,,,
1989,,Franki,Monticello,,4,4,"570,842,474","898,812,000","3,220,194",,,"1,472,874,668",,Flanagan,Eagle,,2,,2,,,,"512,868,000",,,,"512,868,000",,,,,,,,,,,
1990,,Franki,Monticello,,,0,"663,938,503","661,636,000","3,299,559",,,"1,328,874,062",,Flanagan,Eagle,,1,,1,,,,"613,792,000",,,,"613,792,000",,,,,,,,,,,
1991,,Franki,Monticello,,1,1,"436,496,678","614,104,000","2,867,787",,,"1,053,468,465",,Flanagan,Eagle,2,1,,3,,,,"570,968,000",,,,"570,968,000",,,,,,,,,,,
1992,,Franki,Monticello,2,2,4,"450,565,113","399,552,000","4,176,560",,,"854,293,673",,Flanagan,Eagle,,1,,1,,,,,,,,0,,,,,,,,,,,
1993,,Franki,Monticello,,,0,"406,084,135","412,076,000","3,394,792",,,"821,554,927",,Flanagan,Eagle,,3,,3,,,,,,,,0,,,,,,,,,,,
1994,,Franki,Monticello,1,,1,"715,762,110","722,327,703","3,269,923",,,"1,441,359,736",,Flanagan,Eagle,5,6,,11,,,,,,,,0,,,,,,,,,,,
1995,,Franki,Monticello,3,,3,"888,112,000","774,156,000","2,797,481",,,"1,665,065,481",,Flanagan,Eagle,4,5,,9,,,,,,,,0,,,,,,,,,,,
1996,,Franki,Monticello,,1,1,"817,736,000","829,332,000","2,525,625",,,"1,649,593,625",,Flanagan,Eagle,1,,,1,,,,,,,,0,,,,,,,,,,,
1997,,Franki,Monticello,,1,1,"466,640,000","470,997,000","2,796,678",,,"940,433,678",,Flanagan,Eagle,1,1,,2,,,,,,,,0,,,,,,,,,,,
1998,,Franki,Monticello,1,,1,"635,380,000","688,292,000","2,086,507",,,"1,325,758,507",,Flanagan,Eagle,3,1,,4,,,,,,,,0,,,,,,,,,,,
1999,,Franki,Monticello,,1,1,"1,066,720,000","1,212,000,000","3,347,966",,,"2,282,067,966",,States & Terr.,Delaware,,,,0,,,,,,,,0,,,,,,,,,,,
1999,,,,,,0,,,,,,0,,States & Terr.,Pennsylvania,,,,0,,,,,,,,0,,,,,,,,,,,
1999,,,,,,0,,,,,,0,,States & Terr.,New Jersey,,1,,1,,,,,,,,0,,,,,,,,,,,
1999,,,,,,0,,,,,,0,,States & Terr.,Georgia,4,4,,8,,,,,,,,0,,,,,,,,,,,
1999,,,,,,0,,,,,,0,,States & Terr.,Connecticut,,2,,2,,,,,,,,0,,Susan B. Anthony,Apollo 11 Small,,,,,,,,
2000,,Franki,Monticello,2,,2,"1,509,220,000","846,240,000","4,047,993",,,"2,359,507,993",,States & Terr.,Massachusetts,1,4,,5,,,,,,,,0,,Sacagawea,Soaring Eagle,1,1,,,,"767,150,500",,
2000,,,,,,0,,,,,,0,,States & Terr.,Maryland,,3,,3,,,,,,,,0,,,,,,,,,,,
2000,,,,,,0,,,,,,0,,States & Terr.,South Carolina,1,1,,2,,,,,,,,0,,,,,,,,,,,
2000,,,,,,0,,,,,,0,,States & Terr.,New Hampshire,,,,0,,,,,,,,0,,,,,,,,,,,
2000,,,,,,0,,,,,,0,,States & Terr.,Virginia,,1,,1,,,,,,,,0,,,,,,,,,,,
2001,,Franki,Monticello,,1,1,"627,680,000","675,704,000","3,184,606",,,"1,306,568,606",,States & Terr.,New York,,2,,2,,,,,,,,0,,Sacagawea,Soaring Eagle,,1,,,,"62,468,000",,
2001,,,,,,0,,,,,,0,,States & Terr.,North Carolina,,1,,1,,,,,,,,0,,,,,,,,,,,
2001,,,,,,0,,,,,,0,,States & Terr.,Rhode Island,,5,,5,,,,,,,,0,,,,,,,,,,,
2001,,,,,,0,,,,,,0,,States & Terr.,Vermont,,1,,1,,,,,,,,0,,,,,,,,,,,
2001,,,,,,0,,,,,,0,,States & Terr.,Kentucky,1,1,,2,,,,,,,,0,,,,,,,,,,,
2002,,Franki,Monticello,1,2,3,"691,200,000","529,280,000","3,211,995",,,"1,223,691,995",,States & Terr.,Tennessee,1,1,,2,,,,,,,,0,,Sacagawea,Soaring Eagle,,,,,,"3,865,610",,
2002,,,,,,0,,,,,,0,,States & Terr.,Ohio,1,,,1,,,,,,,,0,,,,,,,,,,,
2002,,,,,,0,,,,,,0,,States & Terr.,Louisiana,,,,0,,,,,,,,0,,,,,,,,,,,
2002,,,,,,0,,,,,,0,,States & Terr.,Indiana,,,,0,,,,,,,,0,,,,,,,,,,,
2002,,,,,,0,,,,,,0,,States & Terr.,Mississippi,,,,0,,,,,,,,0,,,,,,,,,,,
2003,,Franki,Monticello,,1,1,"383,040,000","441,840,000","3,298,439",,,"828,178,439",,States & Terr.,Illinois,,,,0,,,,,,,,0,,Sacagawea,Soaring Eagle,,,,,,"3,080,000",,
2003,,,,,,0,,,,,,0,,States & Terr.,Alabama,,,,0,,,,,,,,0,,,,,,,,,,,
2003,,,,,,0,,,,,,0,,States & Terr.,Maine,,,,0,,,,,,,,0,,,,,,,,,,,
2003,,,,,,0,,,,,,0,,States & Terr.,Missouri,,1,,1,,,,,,,,0,,,,,,,,,,,
2003,,,,,,0,,,,,,0,,States & Terr.,Arkansas,,,,0,,,,,,,,0,,,,,,,,,,,
2004,1,Franki,Louisiana Purchase,,2,2,"372,000,000","361,440,000","2,992,069",,,"736,432,069",,States & Terr.,Michigan,,,,0,,,,,,,,0,,Sacagawea,Soaring Eagle,,,,,,"2,660,000",,
2004,1,Franki,Keelboat,,,0,"344,880,000","366,720,000","2,965,422",,,"714,565,422",,States & Terr.,Florida,,,,0,,,,,,,,0,,,,,,,,,,,
2004,,,,,,0,,,,,,0,,States & Terr.,Texas,1,,,1,,,,,,,,0,,,,,,,,,,,
2004,,,,,,0,,,,,,0,,States & Terr.,Iowa,,,,0,,,,,,,,0,,,,,,,,,,,
2004,,,,,,0,,,,,,0,,States & Terr.,Wisconsin,1,,,1,,,,,,,,0,,,,,,,,,,,
2005,1,Franki,American Bison,,3,3,"487,680,000","448,320,000","3,344,679",,,"939,344,679",,States & Terr.,California,,1,,1,,,,,,,,0,,Sacagawea,Soaring Eagle,,,,,,"2,520,000",,
2005,1,Franki,Ocean in View,,1,1,"411,120,000","394,080,000","3,344,679",,,"808,544,679",,States & Terr.,Minnesota,,1,,1,,,,,,,,0,,,,,,,,,,,
2005,,,,,,0,,,,,,0,,States & Terr.,Oregon,,,,0,,,,,,,,0,,,,,,,,,,,
2005,,,,,,0,,,,,,0,,States & Terr.,Kansas,,,,0,,,,,,,,0,,,,,,,,,,,
2005,,,,,,0,,,,,,0,,States & Terr.,West Virginia,,2,,2,,,,,,,,0,,,,,,,,,,,
2006,,Schlag,Monticello,,,0,"809,280,000","693,120,000","3,054,436",,,"1,505,454,436",,States & Terr.,Nevada,,,,0,,,,,,,,0,,Sacagawea,Soaring Eagle,,,,,,"4,900,000",,
2006,,,,,,0,,,,,,0,,States & Terr.,Nebraska,,3,,3,,,,,,,,0,,,,,,,,,,,
2006,,,,,,0,,,,,,0,,States & Terr.,Colorado,,,,0,,,,,,,,0,,,,,,,,,,,
2006,,,,,,0,,,,,,0,,States & Terr.,North Dakota,,,,0,,,,,,,,0,,,,,,,,,,,
2006,,,,,,0,,,,,,0,,States & Terr.,South Dakota,,4,,4,,,,,,,,0,,,,,,,,,,,
2007,,Schlag,Monticello,,3,3,"626,160,000","571,680,000","2,577,166",,,"1,200,417,166",,States & Terr.,Montana,,1,,1,,,,,,,,0,,Sacagawea,Soaring Eagle,,,,,,"3,640,000",,
2007,,,,,,0,,,,,,0,,States & Terr.,Washington,3,1,,4,,,,,,,,0,,George Washington,Everhart,,1,,,,"163,680,000","176,680,000",
2007,,,,,,0,,,,,,0,,States & Terr.,Idaho,,1,,1,,,,,,,,0,,John Adams,Everhart,,,,,,"112,140,000","112,420,000",
2007,,,,,,0,,,,,,0,,States & Terr.,Wyoming,,1,,1,,,,,,,,0,,Thomas Jefferson,Everhart,,1,,,,"102,810,000","100,800,000",
2007,,,,,,0,,,,,,0,,States & Terr.,Utah,,,,0,,,,,,,,0,,James Madison,Everhart,,,,,,"87,780,000","84,560,000",
2008,,Schlag,Monticello,,,0,"345,600,000","279,840,000","2,169,561",,,"627,609,561",,States & Terr.,Oklahoma,,1,,1,,,,,,,,0,,Sacagawea,Soaring Eagle,,,,,,,,
2008,,,,,,0,,,,,,0,,States & Terr.,New Mexico,,,,0,,,,,,,,0,,James Monroe,Everhart,,,,,,"60,230,000","64,260,000",
2008,,,,,,0,,,,,,0,,States & Terr.,Arizona,,1,,1,,,,,,,,0,,John Quincy Adams,Everhart,,,,,,"57,720,000","57,540,000",
2008,,,,,,0,,,,,,0,,States & Terr.,Alaska,,1,,1,,,,,,,,0,,Andrew Jackson,Everhart,,,,,,"61,070,000","61,180,000",
2008,,,,,,0,,,,,,0,,States & Terr.,Hawaii,,1,,1,,,,,,,,0,,Martin Van Buren,Everhart,,,,,,"50,960,000","51,520,000",
2009,,Schlag,Monticello,,,0,"46,800,000","39,840,000","2,179,867",,,"88,819,867",,States & Terr.,District of Columbia,,,,0,,,,,,,,0,,Sacagawea,Three Sisters,,,,,,,,
2009,,,,,,0,,,,,,0,,States & Terr.,Puerto Rico,,,,0,,,,,,,,0,,William Henry Harrison,Everhart,,,,,,"55,160,000","43,260,000",
2009,,,,,,0,,,,,,0,,States & Terr.,Guam,,,,0,,,,,,,,0,,John Tyler,Everhart,,,,,,"43,540,000","43,540,000",
2009,,,,,,0,,,,,,0,,States & Terr.,American Samoa,,,,0,,,,,,,,0,,James K. Polk,Everhart,,,,,,"41,720,000","46,620,000",
2009,,,,,,0,,,,,,0,,States & Terr.,U.S. Virgin Islands,,,,0,,,,,,,,0,,Zachary Taylor,Everhart,,,,,,"36,680,000","41,580,000",
2009,,,,,,0,,,,,,0,,States & Terr.,Northern Mariana Islands,,,,0,,,,,,,,0,,,,,,,,,,,
2010,,Schlag,Monticello,,1,1,"229,920,000","260,640,000","1,689,216",,,"492,249,216",,America the Beautiful,Hot Springs,,,,0,,"34,000,000",,"35,600,000",,,,"69,600,000",,Sacagawea,Hiawatha Belt,,,,,,,,
2010,,,,,,0,,,,,,0,,America the Beautiful,Yellowstone,,,,0,,"34,800,000",,"33,600,000",,,,"68,400,000",,Millard Fillmore,Everhart,,,,,,"36,960,000","37,520,000",
2010,,,,,,0,,,,,,0,,America the Beautiful,Yosemite,,,,0,,"34,800,000",,"35,200,000",,,,"70,000,000",,Franklin Pierce,Everhart,,,,,,"38,360,000","38,220,000",
2010,,,,,,0,,,,,,0,,America the Beautiful,Grand Canyon,,,,0,,"35,400,000",,"34,800,000",,,,"70,200,000",,James Buchanan,Everhart,,,,,,"36,540,000","36,820,000",
2010,,,,,,0,,,,,,0,,America the Beautiful,Mount Hood,,,,0,,"34,400,000",,"34,400,000",,,,"68,800,000",,Abraham Lincoln,Everhart,,,,,,"48,020,000","49,000,000",
2011,,Schlag,Monticello,,1,1,"540,240,000","450,000,000","1,673,010",,,"991,913,010",,America the Beautiful,Gettysburg,,,,0,,"30,400,000",,"30,800,000",,,,"61,200,000",,Sacagawea,Ousamequin & Carver,,,,,,,,
2011,,,,,,0,,,,,,0,,America the Beautiful,Glacier,,,,0,,"31,200,000",,"30,400,000",,,,"61,600,000",,Andrew Johnson,Everhart,,,,,,"37,100,000","35,560,000",
2011,,,,,,0,,,,,,0,,America the Beautiful,Olympic,,,,0,,"30,500,000",,"30,500,000",,,,"61,000,000",,Ulysses S. Grant,Everhart,,,,,,"37,940,000","38,080,000",
2011,,,,,,0,,,,,,0,,America the Beautiful,Vicksburg,,,,0,,"33,400,000",,"30,800,000",,,,"64,200,000",,Rutherford B. Hayes,Everhart,,,,,,"36,820,000","37,660,000",
2011,,,,,,0,,,,,,0,,America the Beautiful,Chickasaw,,,,0,,"69,400,000",,"73,800,000",,,,"143,200,000",,James A. Garfield,Everhart,,,,,,,,
2012,,Schlag,Monticello,2,,2,"558,960,000","464,640,000","1,239,148",,,"1,024,839,148",,America the Beautiful,El Yunque,,,,0,,"25,000,000",,"25,800,000","1,680,000",,,"52,480,000",,Sacagawea,Trade Routes of the 17th Century,,,,,,,,
2012,,,,,,0,,,,,,0,,America the Beautiful,Chaco Culture,,,,0,,"22,000,000",,"22,000,000","1,389,020",,,"45,389,020",,Chester A. Arthur,Everhart,,,,,,,,
2012,,,,,,0,,,,,,0,,America the Beautiful,Acadia,,,,0,,"21,606,000",,"24,800,000","1,409,120",,,"47,815,120",,Grover Cleveland I,Everhart,,,,,,,,
2012,,,,,,0,,,,,,0,,America the Beautiful,Hawai'i Volcanoes,,,,0,,"78,600,000",,"46,200,000","1,409,120",,,"126,209,120",,Benjamin Harrison,Everhart,,,,,,,,
2012,,,,,,0,,,,,,0,,America the Beautiful,Denali,,,,0,,"166,600,000",,"135,400,000","1,409,220",,,"303,409,220",,Grover Cleveland II,Everhart,,,,,,,,
2013,,Schlag,Monticello,,1,1,"615,600,000","607,440,000","1,274,505",,,"1,224,314,505",,America the Beautiful,White Mountain,,,,0,,"107,600,000",,"68,800,000","1,606,900",,,"178,006,900",,Sacagawea,Treaty with the Lenape,,,,,,,,
2013,,,,,,0,,,,,,0,,America the Beautiful,Perry's Victory,2,2,,4,,"131,600,000",,"107,600,000","1,606,900",,,"240,806,900",,William McKinley,Everhart,,,,,,,,
2013,,,,,,0,,,,,,0,,America the Beautiful,Great Basin,,,,0,,"141,400,000",,"122,400,000","1,425,860",,,"265,225,860",,Theodore Roosevelt,Everhart,,,,,,,,
2013,,,,,,0,,,,,,0,,America the Beautiful,Fort McHenry,,,,0,,"151,400,000",,"120,000,000","1,316,500",,,"272,716,500",,William Howard Taft,Everhart,,,,,,,,
2013,,,,,,0,,,,,,0,,America the Beautiful,Mount Rushmore,,,,0,,"272,400,000",,"231,800,000","1,373,260",,,"505,573,260",,Woodrow Wilson,Everhart,,,,,,,,
2014,,Schlag,Monticello,,,0,"570,720,000","635,520,000","1,193,735",,,"1,207,433,735",,America the Beautiful,Great Smoky Mountains,,,,0,,"99,400,000",,"73,200,000","1,360,780",,,"173,960,780",,Sacagawea,Ceremonial Pipe,,,,,,,,
2014,,,,,,0,,,,,,0,,America the Beautiful,Shenandoah,3,,,3,,"197,800,000",,"112,800,000","1,266,720",,,"311,866,720",,Warren G. Harding,Everhart,,,,,,,,
2014,,,,,,0,,,,,,0,,America the Beautiful,Arches,,,,0,,"251,400,000",,"214,200,000","1,235,940",,,"466,835,940",,Calvin Coolidge,Everhart,,,,,,,,
2014,,,,,,0,,,,,,0,,America the Beautiful,Great Sand Dunes,,,,0,,"171,800,000",,"159,600,000","1,176,760",,,"332,576,760",,Herbert Hoover,Everhart,,,,,,,,
2014,,,,,,0,,,,,,0,,America the Beautiful,Everglades,,1,,1,,"142,400,000",,"157,601,000","1,180,900",,,"301,181,900",,Franklin D. Roosevelt,Everhart,,,,,,,,
2015,,Schlag,Monticello,1,,1,"846,720,000","752,880,000","1,099,413",,,"1,600,699,413",,America the Beautiful,Homestead,,2,,2,,"248,600,000",,"214,400,000","1,153,840",,,"464,153,840",,Sacagawea,Mohawk Ironworkers,,,,,,,,
2015,,,,,,0,,,,,,0,,America the Beautiful,Kisatchie,,,,0,,"379,600,000",,"397,200,000","1,099,380",,,"777,899,380",,Harry S. Truman,Everhart,,,,,,,,
2015,,,,,,0,,,,,,0,,America the Beautiful,Blue Ridge Parkway,,2,,2,,"505,200,000",,"325,616,000","1,096,620",,,"831,912,620",,Dwight D. Eisenhower,Everhart,,,,,,,,
2015,,,,,,0,,,,,,0,,America the Beautiful,Bombay Hook,1,3,,4,,"206,400,000",,"275,000,000","1,013,920",,,"482,413,920",,John F. Kennedy,Everhart,,,,,,,,
2015,,,,,,0,,,,,,0,,America the Beautiful,Saratoga,,2,,2,,"215,800,000",,"223,000,000","1,045,500",,,"439,845,500",,Lyndon B. Johnson,Everhart,,,,,,,,
2016,,Schlag,Monticello,,4,4,"759,600,000","786,960,000","1,011,684",,,"1,547,571,684",,America the Beautiful,Shawnee,,,,0,,"151,800,000",,"155,600,000","1,081,914",,,"308,481,914",,Sacagawea,Code Talkers,,,,,,,,
2016,,,,,,0,,,,,,0,,America the Beautiful,Cumberland Gap,,,,0,,"223,200,000",,"215,400,000","1,036,093",,,"439,636,093",,Richard Nixon,Everhart,,,,,,,,
2016,,,,,,0,,,,,,0,,America the Beautiful,Harpers Ferry,,9,,9,,"424,000,000",,"434,630,000","1,050,185",,,"859,680,185",,Gerald Ford,Everhart,,,,,,,,
2016,,,,,,0,,,,,,0,,America the Beautiful,Theodore Roosevelt,2,,,2,,"223,200,000",,"231,600,000","1,073,092",,,"455,873,092",,Ronald Reagan,Everhart,,,,,,,,
2016,,,,,,0,,,,,,0,,America the Beautiful,Fort Moultrie,,,,0,,"142,200,000",,"154,400,000","979,566",,,"297,579,566",,,,,,,,,,,
2016,,,,,,0,,,,,,0,,Centennial Standing Liberty,Centennial Standing Liberty,,,,0,,,,,,"100,000",,0,,,,,,,,,,,
2017,,Schlag,Monticello,,3,3,"663,120,000","710,160,000","1,202,808",,,"1,374,482,808",,America the Beautiful,Effigy Mounds,,,,0,,"210,800,000",,"271,200,000","945,853",,,"482,945,853",,Sacagawea,Sequoyah,,,,,,,,
2017,,,,,,0,,,,,,0,,America the Beautiful,Frederick Douglass,,,,0,,"185,800,000",,"184,800,000","950,503",,,"371,550,503",,,,,,,,,,,
2017,,,,,,0,,,,,,0,,America the Beautiful,Ozark Riverways,,,,0,,"200,000,000",,"203,000,000","921,747",,,"403,921,747",,,,,,,,,,,
2017,,,,,,0,,,,,,0,,America the Beautiful,Ellis Island,,,,0,,"254,000,000",,"234,000,000","973,147",,,"488,973,147",,,,,,,,,,,
2018,,Schlag,Monticello,1,2,3,"626,880,000","629,520,000","1,098,163",,,"1,257,498,163",,America the Beautiful,George Rogers Clark,,1,,1,,"180,800,000",,"191,600,000","933,150",,,"373,333,150",,Sacagawea,Jim Thorpe,,,,,,,,
2018,,,,,,0,,,,,,0,,America the Beautiful,Pictured Rocks,,,,0,,"182,600,000",,"186,714,000","931,220",,,"370,245,220",,Kunz,First Patent,,,,,,,,
2018,,,,,,0,,,,,,0,,America the Beautiful,Apostle Islands,,3,,3,,"216,600,000",,"223,200,000","889,080",,,"440,689,080",,,,,,,,,,,
2018,,,,,,0,,,,,,0,,America the Beautiful,Voyageurs,,,,0,,"197,800,000",,"237,400,000","867,400",,,"436,067,400",,,,,,,,,,,
2018,,,,,,0,,,,,,0,,America the Beautiful,Cumberland Island,,,,0,,"151,600,000",,"138,000,000","880,940",,,"290,480,940",,,,,,,,,,,
2018,,,,,,0,,,,,,0,,America the Beautiful,Block Island,,1,,1,,"159,600,000",,"159,600,000","854,940",,,"320,054,940",,,,,,,,,,,
2019,,Schlag,Monticello,,2,2,"527,040,000","567,854,400","989,862",,,"1,095,884,262",,America the Beautiful,Lowell,,1,,1,,"182,200,000",,"165,800,000","909,080","2,000,000",,"348,909,080",,Sacagawea,Ross & Herrington,,,,,,,,
2019,,,,,,0,,,,,,0,,America the Beautiful,American Memorial Park,,2,,2,,"182,600,000",,"142,800,000","952,795","2,000,000",,"326,352,795",,Kunz 2019,Annie Jump Cannon,,,,,,,,
2019,,,,,,0,,,,,,0,,America the Beautiful,War in the Pacific,,1,,1,,"114,400,000",,"116,600,000","947,001","2,000,000",,"231,947,001",,Kunz 2019,Polio Vaccine,,,,,,,,
2019,,,,,,0,,,,,,0,,America the Beautiful,San Antonia Missions,,3,,3,,"129,400,000",,"142,800,000","945,719","2,000,000",,"273,145,719",,Kunz 2019,Lightbulb,,,,,,,,
2019,,,,,,0,,,,,,0,,America the Beautiful,River of No Return Wilderness,,4,,4,,"251,600,000",,"223,400,000","946,859","2,000,000",,"475,946,859",,Kunz 2019,Trustees' Garden,,,,,,,,
2020,,Schlag,Monticello,1,6,7,"837,600,000","785,500,000","777,913","777,913",,"1,623,877,913",,America the Beautiful,National Park,,1,,1,,"212,200,000",,"286,000,000","955,145","2,000,000",,"499,155,145",,Sacagawea,Elizabeth Peratovich,,,,,,,,
2020,,,,,,0,,,,,,0,,America the Beautiful,Weir Farm,,2,,2,,"155,000,000",,"125,600,000","961,229","2,000,000",,"281,561,229",,Kunz 2020,Gerber Variable Scale,,,,,,,,
2020,,,,,,0,,,,,,0,,America the Beautiful,Salt River Bay,2,3,,5,,"515,000,000",,"580,200,000","949,947","2,000,000",,"1,096,149,947",,Kunz 2020,Telephone,,,,,,,,
2020,,,,,,0,,,,,,0,,America the Beautiful,Marsh-Billings-Rockefeller,,1,,1,,"345,800,000",,"304,600,000","945,449","2,000,000",,"651,345,449",,Kunz 2020,Hubble Space Telescope,,,,,,,,
2020,,,,,,0,,,,,,0,,America the Beautiful,Tallgrass Prairie,,,,0,,"142,400,000",,"101,200,000","951,612","2,000,000",,"244,551,612",,George H. W. Bush,Everhart,,,,,,,,
2020,,,,,,0,,,,,,0,,,,,,,0,,,,,,,,0,,Kunz 2020,Septima Clark,,,,,,,,
2021,,Schlag,Monticello,1,2,3,"798,000,000","772,780,000","513,866",,,"1,571,293,866",,America the Beautiful,Tuskeegee Airmen,2,1,,3,,"304,000,000",,"160,400,000","858,572",,,"465,258,572",,Sacagawea,American Indians in U.S. Military Service,,,,,,,,
2021,,,,,,0,,,,,,0,,Flanagan,Washington Crossing the Delaware,,13,,13,,,,,,,,0,,Kunz 2021,In-home Video Game System,,,,,,,,
2021,,,,,,0,,,,,,0,,,,,,,0,,,,,,,,0,,Kunz 2021,Chesapeake Bay Bridge-Tunnel,,,,,,,,
2021,,,,,,0,,,,,,0,,,,,,,0,,,,,,,,0,,Kunz 2021,Erie Canal,,,,,,,,
2021,,,,,,0,,,,,,0,,,,,,,0,,,,,,,,0,,Kunz 2021,Higher Education,,,,,,,,
2022,,Schlag,Monticello,,3,3,"777,600,000","769,920,000","400,002",,,"1,547,920,002",,Fraser,Maya Angelou,,1,,1,,"258,200,000",,"237,600,000","303,520",,,"496,103,520",,Sacagawea,Ely Samuel Parker,,,,,,,,
2022,,,,,,0,,,,,,0,,Fraser,Dr. Sally Ride,,3,,3,,"278,000,000",,"275,200,000","304,120",,,"553,504,120",,Kunz 2022,Reliance Yacht,,,,,,,,
2022,,,,,,0,,,,,,0,,Fraser,Wilma Mankiller,,5,,5,,"296,800,000",,"310,000,000","304,640",,,"607,104,640",,Kunz 2022,Snowboarding,,,,,,,,
2022,,,,,,0,,,,,,0,,Fraser,Nina Otero-Warren,,1,,1,,"219,200,000",,"225,000,000","305,560",,,"444,505,560",,Kunz 2022,Kentucky Bluegrass,,,,,,,,
2022,,,,,,0,,,,,,0,,Fraser,Anna May Wong,,,,0,,"240,800,000",,"226,800,000","303,680",,,"467,903,680",,Kunz 2022,Tennessee Vallley Authority,,,,,,,,
2023,,Schlag,Monticello,1,5,6,"692,600,000","79,920,000","355,786",,,"772,875,786",,Fraser,Bessie Coleman,2,3,,5,,,,,,,,0,,Sacagawea,,,,,,,,,
2023,,,,,,0,,,,,,0,,Fraser,Edith Kanaka'ole,1,1,,2,,"368,600,000",,"372,800,000","503,400",,,"741,903,400",,Kunz 2023,Underground Railroad,,,,,,,,
2023,,,,,,0,,,,,,0,,Fraser,Eleanor Roosevelt,,,,0,,"271,800,000",,"284,000,000","507,120",,,"556,307,120",,Kunz 2023,Higgins Boat,,,,,,,,
2023,,,,,,0,,,,,,0,,Fraser,Jovita Idar,1,2,,3,,"184,800,000",,"190,600,000","503,920",,,"375,903,920",,Kunz 2023,Automobile Industry,,,,,,,,
2023,,,,,,0,,,,,,0,,Fraser,Maria Tallchief,,4,,4,,"184,800,000",,"185,800,000","502,560",,,"371,102,560",,Kunz 2023,First Human Lung Transplant,,,,,,,,
2024,,Schlag,Monticello,,,0,"32,880,000","79,920,000","355,786",,,"113,155,786",,Fraser,Dr. Pauli Murray,1,2,,3,,"185,500,000",,"168,400,000","506,360",,,"354,406,360",,Sacagawea,Indian Citizenship Act of 1924,,,,,,,,
2024,,,,,,0,,,,,,0,,Fraser,Patsy Takemoto Mink,,1,,1,,"187,200,000",,"210,200,000","471,720",,,"397,871,720",,Kunz 2024,Steel Plow,,,,,,,,
2024,,,,,,0,,,,,,0,,Fraser,Dr. Mary Edwards Walker,,,,0,,"159,400,000",,"141,200,000","449,240",,,"301,049,240",,Kunz 2024,Saturn V Rocket,,,,,,,,
2024,,,,,,0,,,,,,0,,Fraser,Celia Cruz,,,,0,,"156,200,000",,"149,600,000","557,160",,,"306,357,160",,Kunz 2024,DC Defibrillator,,,,,,,,
2024,,,,,,0,,,,,,0,,Fraser,Zitkala-Ša,,,,0,,"170,200,000",,"152,600,000","430,280",,,"323,230,280",,Kunz 2024,George Washington Carver,,,,,,,,
